Subject,TripletNumber,Rotation,MovementCondition,STL,Experiment,Retained,RetainedRaw,DistanceTraveled,RT,Go,NoGo
1,1,ccw,stop,-14.50748336,IRLRotn,0.52237784,-7.578387819,0.002198087,577,0,15
1,2,ccw,go,-0.040826002,IRLRotn,-31.8672182,1.301011125,0.080433529,451,15,0
1,3,cw,stop,0.744110023,IRLRotn,-0.653158899,-0.486022083,0.00279201,491,0,-15
1,4,cw,go,13.59453006,IRLRotn,0.648034502,8.809724525,0.08068805,405,-15,0
1,5,ccw,go,-9.677060427,IRLRotn,1.269124796,-12.28139734,0.080712111,466,15,0
1,6,cw,stop,9.023811977,IRLRotn,-1.298761906,-11.71978324,0.004320426,542,0,-15
1,7,cw,go,22.03812325,IRLRotn,0.648208521,14.28529928,0.080183556,416,-15,0
1,8,ccw,stop,2.54566825,IRLRotn,0.480640606,1.22355153,0.000892787,514,0,15
1,10,ccw,go,7.922182917,IRLRotn,0.018467538,0.146303211,0.080251742,411,15,0
1,11,cw,stop,4.377695275,IRLRotn,-1.038313254,-4.545419028,0.000625295,387,0,-15
1,12,cw,go,22.91122664,IRLRotn,1.022990862,23.43797549,0.080863049,395,-15,0
1,13,ccw,go,-19.48793871,IRLRotn,0.098099095,-1.911749151,0.080196267,446,15,0
1,14,cw,stop,-0.20964403,IRLRotn,20.15134068,-4.224608269,0.001466039,519,0,-15
1,15,cw,go,14.38994237,IRLRotn,0.333367943,4.79714548,0.080277161,525,-15,0
1,16,ccw,stop,-6.206976963,IRLRotn,1.356962461,-8.422634738,0.003397174,384,0,15
1,17,ccw,stop,-8.047769862,IRLRotn,0.602796534,-4.851167783,0.001873174,549,0,15
1,18,ccw,go,-6.889642379,IRLRotn,0.991208624,-6.829072944,0.080225511,356,15,0
1,20,cw,go,11.371169,IRLRotn,0.26819231,3.049660084,0.080550752,411,-15,0
1,21,ccw,go,-3.217553941,IRLRotn,-2.790372023,8.9781725,0.080391197,346,15,0
1,22,cw,stop,-4.403050145,IRLRotn,2.572432299,-11.32654841,0.00302377,500,0,-15
1,23,cw,go,13.80005859,IRLRotn,0.629891553,8.69254033,0.080267835,404,-15,0
1,24,ccw,stop,-7.298027814,IRLRotn,0.117395795,-0.856757776,0.003373312,383,0,15
1,25,ccw,stop,-7.911101486,IRLRotn,NaN,NaN,0.001496761,811,0,15
1,28,cw,go,9.722191453,IRLRotn,0.482034937,4.686435947,0.080347266,450,-15,0
1,29,ccw,go,-6.173023877,IRLRotn,1.836303641,-11.33554622,0.080646012,438,15,0
1,31,cw,go,0.521942176,IRLRotn,-0.220034339,-0.114845202,0.080172845,428,-15,0
1,32,ccw,stop,-1.284621105,IRLRotn,5.254777191,-6.750397682,0.004102955,454,0,15
1,33,ccw,stop,6.398310557,IRLRotn,-0.078249457,-0.500664326,0.000876923,438,0,15
1,34,ccw,go,1.11202174,IRLRotn,2.756387184,3.065162474,0.080486873,387,15,0
1,36,cw,go,10.47266988,IRLRotn,0.481058459,5.037966438,0.080656017,345,-15,0
1,37,ccw,go,-5.053456795,IRLRotn,1.518842023,-7.675402543,0.080161848,378,15,0
1,39,cw,go,-1.519492656,IRLRotn,-1.150186193,1.747699473,0.080764852,517,-15,0
1,41,cw,go,1.118190222,IRLRotn,1.331683422,1.489075382,0.080410637,446,-15,0
1,42,ccw,go,-3.872120436,IRLRotn,0.838990197,-3.248671088,0.080360222,396,15,0
1,44,cw,stop,-3.479732804,IRLRotn,2.517385455,-8.759828749,0.003789424,449,0,-15
1,45,ccw,go,-4.393884836,IRLRotn,-0.144340232,0.634214358,0.081654421,573,15,0
1,48,cw,go,4.637660162,IRLRotn,0.703463872,3.262426376,0.081615445,458,-15,0
1,49,cw,go,5.613405046,IRLRotn,0.607906889,3.412427596,0.080656588,502,-15,0
1,50,ccw,go,-10.9567246,IRLRotn,0.726823442,-7.963604279,0.080768503,386,15,0
1,51,ccw,stop,4.96791332,IRLRotn,0.934545698,4.642742023,0.00121665,373,0,15
1,53,ccw,go,-13.26766804,IRLRotn,1.520571741,-20.17444109,0.080984702,405,15,0
1,55,ccw,stop,5.926980014,IRLRotn,-0.141237101,-0.837109472,0.004607174,402,0,15
1,56,cw,go,11.09815358,IRLRotn,-0.234729094,-2.605059537,0.080143192,415,-15,0
