"Experiment","Test","groupA","groupB","Statistic","df","padjval","effsize"
1,"t","go ccw","stop ccw",-9.42667176126962,19,2.70107116660629e-08,-2.0221881203534
1,"wilcox","go cw","stop cw",210,NA,2.54666666666667e-06,0.876523064686166
1,"t","go ccw","go cw",-12.9175686608054,19,2.95674851991215e-10,-5.11885036510541
1,"t","stop ccw","stop cw",-4.39178127081165,19,0.000313525246732334,-1.6346446395663
2,"EMM Contrast (t)","go cw","stop cw",4.75909319077319,2668.52345668477,3.68699430884689e-06,0.324158085340201
2,"EMM Contrast (t)","go cw","go 0",9.90595974258479,2654.58456462693,4.35451468917385e-22,0.609748513722984
2,"EMM Contrast (t)","go cw","go ccw",17.4108199036791,2649.88654295158,2.05423220781601e-63,1.05956706260233
2,"EMM Contrast (t)","go 0","go ccw",7.37094588588372,2647.97239773771,5.0690713631838e-13,0.449818548879343
2,"EMM Contrast (t)","go 0","stop 0",0.533737490723567,2670.0640594259,0.593567595344211,0.0362414396581474
2,"EMM Contrast (t)","go ccw","stop ccw",-2.208972056425,2667.8373290771,0.0306689380813946,-0.152036665632963
2,"EMM Contrast (t)","stop cw","stop 0",4.36357368355502,2654.53149148783,1.99264345603532e-05,0.32183186804093
2,"EMM Contrast (t)","stop cw","stop ccw",7.75785509220607,2659.65883909554,3.66452401123843e-14,0.583372311629163
2,"EMM Contrast (t)","stop 0","stop ccw",3.49500998931353,2655.79473709536,0.000619464894029234,0.261540443588232
3,"EMM Contrast (t)","go cw","stop cw",3.28846557474189,2375.67487354845,0.00131405748224059,0.237132681286319
3,"EMM Contrast (t)","go cw","go 0",7.81864782258474,2355.49071023934,3.59382184861295e-14,0.511380167214652
3,"EMM Contrast (t)","go cw","go ccw",14.7629992609069,2357.86264502047,2.74778134444702e-46,0.960720496348723
3,"EMM Contrast (t)","go 0","go ccw",6.93126321167584,2357.07768062509,1.60914788267816e-11,0.449340329134071
3,"EMM Contrast (t)","go 0","stop 0",1.09802785725739,2378.79346442576,0.272303452661829,0.0793896185114137
3,"EMM Contrast (t)","go ccw","stop ccw",-3.5077315343511,2377.90064890255,0.000690492745502266,-0.254910765167375
3,"EMM Contrast (t)","stop cw","stop 0",4.52212519047951,2360.97443570806,1.15648348735644e-05,0.353637104439746
3,"EMM Contrast (t)","stop cw","stop ccw",5.94517145035351,2361.98008494296,7.13513709044693e-09,0.468677049895029
3,"EMM Contrast (t)","stop 0","stop ccw",1.45287298869235,2361.44976813012,0.1646908700875,0.115039945455283
4,"EMM Contrast (t)","cw","ccw",5.09486958331002,1107.84978527785,4.09994821100773e-07,0.303832108162698
5,"EMM Contrast (t)","cw","ccw",4.65040872640174,1285.80144367724,1.09630005515624e-05,0.316900917780148
5,"EMM Contrast (t)","cw","0",2.44781966573869,1283.95124859002,0.0217582506500283,0.165618492854133
5,"EMM Contrast (t)","0","ccw",2.22179260421492,1281.3578645468,0.0264714661259974,0.151282424926015
