"Experiment","Test","groupA","groupB","Statistic","df","padjval","effsize"
1,"t","go ccw","stop ccw",-9.42667176126962,19,2.70107116660629e-08,-2.0221881203534
1,"wilcox","go cw","stop cw",210,NA,2.54666666666667e-06,0.876523064686166
1,"t","go ccw","go cw",-12.9175686608054,19,2.95674851991215e-10,-5.11885036510541
1,"t","stop ccw","stop cw",-4.39178127081165,19,0.000313525246732334,-1.6346446395663
2,"EMM Contrast (t)","go cw","stop cw",4.97588445066525,2237.7165158254,1.25815351138067e-06,0.368268041353018
2,"EMM Contrast (t)","go cw","go 0",9.13563142375,2226.95124343314,6.3913480529878e-19,0.614626736345982
2,"EMM Contrast (t)","go cw","go ccw",17.0814344929281,2222.84920920279,1.31069874366534e-60,1.13289386653118
2,"EMM Contrast (t)","go 0","go ccw",7.81076587329424,2219.8195716157,2.60860824595521e-14,0.518267130185197
2,"EMM Contrast (t)","go 0","stop 0",0.925541958012013,2239.72292254252,0.354783780804242,0.0689365509090854
2,"EMM Contrast (t)","go ccw","stop ccw",-2.05991766372294,2238.66471435589,0.0444619932345445,-0.155348981329524
2,"EMM Contrast (t)","stop cw","stop 0",3.91631665975622,2225.13594983147,0.000138929797414547,0.31529524590205
2,"EMM Contrast (t)","stop cw","stop ccw",7.41509416349706,2230.51959107438,3.86300605487856e-13,0.609276843848637
2,"EMM Contrast (t)","stop 0","stop ccw",3.56151687248039,2229.32379939,0.00048400336890935,0.293981597946587
3,"EMM Contrast (t)","go cw","stop cw",3.4935140164345,1845.68237662707,0.000878304596776671,0.28671156517287
3,"EMM Contrast (t)","go cw","go 0",7.54987939984916,1826.87352576187,3.07718471431805e-13,0.560352118733907
3,"EMM Contrast (t)","go cw","go ccw",13.1397102779247,1828.03652658319,8.51272431537751e-37,0.966511126095326
3,"EMM Contrast (t)","go 0","go ccw",5.56867908143308,1827.51949399828,8.84318684191166e-08,0.406159007361419
3,"EMM Contrast (t)","go 0","stop 0",0.158839007677988,1845.62759003351,0.873813093489982,0.0131010048775965
3,"EMM Contrast (t)","go ccw","stop ccw",-2.28806672613499,1846.42297504407,0.027833826456568,-0.189031683188583
3,"EMM Contrast (t)","stop cw","stop 0",3.21322110699809,1829.93387525634,0.00200308007455081,0.286741558438634
3,"EMM Contrast (t)","stop cw","stop ccw",5.45703787996602,1832.86004078146,1.23759665471733e-07,0.490767877733873
3,"EMM Contrast (t)","stop 0","stop ccw",2.24727335199838,1831.52107068632,0.027833826456568,0.204026319295239
4,"EMM Contrast (t)","cw","ccw",4.79723447278967,557.193864002763,2.06807825828964e-06,0.401179053652859
5,"EMM Contrast (t)","cw","ccw",4.31676393553008,805.051392384533,5.34182519147593e-05,0.369817297170303
5,"EMM Contrast (t)","cw","0",2.48529595811128,801.40948408395,0.0197209614482379,0.211896524518735
5,"EMM Contrast (t)","0","ccw",1.82829473860231,799.99701779834,0.067877563908664,0.157920772651568
