"Experiment","Test","groupA","groupB","Statistic","df","padjval","effsize"
1,"t","go","1 samp v zero",26.200453563555,19,6.7139794077163e-16,-5.85859952094356
1,"t","stop","1 samp v zero",9.19738733694159,19,2.98514649146941e-08,-2.05659833007971
1,"t","go","stop",2.0670672827711,19,0.0526274509588832,0.583125913325923
2,"wilcox","go","1 samp v zero",819,NA,1.092e-11,0.869229585476351
2,"wilcox","stop","1 samp v zero",769,NA,9.69e-08,0.762966799965795
2,"wilcox","go","stop",441,NA,0.685,0.065882927016545
3,"t","go","1 samp v zero",11.314116674812,36,6.22821447480138e-13,-1.86002932359374
3,"wilcox","stop","1 samp v zero",579,NA,5.955e-05,0.644133572129007
3,"t","go","stop",1.71383579555456,35,0.0954038500872373,0.412774768075826
4,"t","stop","1 samp v zero",8.27621329107893,22,3.34483431048034e-08,-1.7257097650007
5,"wilcox","stop","1 samp v zero",507,NA,0.00117,0.531567451185199
